hanzi,pinyin,meaning
㐆,[yin3],component in Chinese character 殷[yin1]
㐌,[ta1],variant of 它[ta1]
㐖,[Ye4],see 㐖毒[Ye4 du2]
㐖毒,[Ye4 du2],India (archaic)
㐜,[chou2],variant of 仇[chou2]
㐡,[nuo4],archaic variant of 懦[nuo4]
㐤,[qiu2],archaic variant of 求[qiu2]
㐫,[xiong1],old variant of 凶[xiong1]
㐰,[xin4],old variant of 信[xin4]
㐺,[zhong4],old variant of 眾|众[zhong4]
㑇,[zhou4],(old) beautiful
俊,[jun4],old variant of 俊[jun4]
㒳,[liang3],old variant of 兩|两[liang3]
㒸,[sui4],archaic variant of 遂[sui4]
罔,[wang3],old variant of 罔[wang3]
寇,[kou4],old variant of 寇[kou4]
㔾,[jie2],"seal" radical in Chinese characters (Kangxi radical 26)
却,[que4],old variant of 卻|却[que4]
厨,[chu2],old variant of 廚|厨[chu2]
㕥,[shen1],old variant of 呻[shen1]
以,[yi3],old variant of 以[yi3]
㕯,[ne4],old variant of 訥|讷[ne4]
㕻,[pou3],variant of 咅[pou3]
㗂,[sheng3],variant of 省[sheng3]
㗎,[jia4],sentence-final particle, contraction of "嘅呀" (Cantonese)
坳,[ao4],variant of 坳[ao4]
㚻,[ji1],see 㚻姦|㚻奸[ji1 jian1]
㚻奸,[ji1 jian1],variant of 雞姦|鸡奸[ji1 jian1]
㛂,[nuo3],graceful
㝄,[chun2],old variant of 純|纯[chun2]
㝇,[chun2],old variant of 鶉|鹑[chun2]
宿,[su4],old variant of 宿[su4]
冥,[ming2],old variant of 冥[ming2]
最,[zui4],variant of 最[zui4]
㝵,[ai4],variant of 礙|碍[ai4]
㝵,[de2],to obtain
㞎,[ba3],(baby talk) poop
㞎㞎,[ba3 ba5],(baby talk) poop
㞗,[qiu2],(dialect) penis
㞙,[niao4],old variant of 尿[niao4]
㞞,[song2],(coll.) semen
岸,[an4],variant of 岸[an4]
岛,[dao3],variant of 島|岛[dao3]
以,[yi3],old variant of 以[yi3]
帆,[fan1],variant of 帆[fan1]
帽,[mao4],old variant of 帽[mao4]
廉,[lian2],old variant of 廉[lian2]
迥,[jiong3],variant of 迥[jiong3]
㢲,[xun4],variant of 巽[xun4]
㢴,[xi1],old variant of 西[xi1]
